"feature_type","feature","in_published","in_rediscovered"
"trans_gene","PTGDS",TRUE,TRUE
"trans_gene","PTPRC",TRUE,FALSE
"trans_gene","PTPRCAP",TRUE,TRUE
"trans_gene","RARRES1",TRUE,TRUE
"trans_gene","RET",TRUE,TRUE
"trans_gene","ROPN1",TRUE,FALSE
"trans_gene","S100A2",TRUE,FALSE
"trans_gene","SCUBE2",TRUE,TRUE
"trans_gene","SELL",TRUE,TRUE
"trans_gene","SFRP1",TRUE,TRUE
"trans_gene","SLAMF7",TRUE,FALSE
"trans_gene","SLC16A6",TRUE,TRUE
"trans_gene","SLC39A6",TRUE,TRUE
"trans_gene","SLC44A4",TRUE,TRUE
"trans_gene","SPDEF",TRUE,FALSE
"trans_gene","SPOCK2",TRUE,FALSE
"trans_gene","TBC1D9",TRUE,TRUE
"trans_gene","TFF1",TRUE,TRUE
"trans_gene","TFF3",TRUE,TRUE
"trans_gene","THSD4",TRUE,FALSE
"trans_gene","TNFRSF17",TRUE,FALSE
"trans_gene","TSPAN1",TRUE,TRUE
"trans_gene","TTYH1",TRUE,TRUE
"trans_gene","UBD",TRUE,FALSE
"trans_gene","VGLL1",TRUE,FALSE
"trans_gene","XBP1",TRUE,FALSE
"trans_gene","ZAP70",TRUE,TRUE
"trans_gene","ZMYND10",TRUE,FALSE
"trans_gene","A2ML1",FALSE,TRUE
"trans_gene","ABAT",FALSE,TRUE
"trans_gene","ACADSB",FALSE,TRUE
"trans_gene","ADAM6",FALSE,TRUE
"trans_gene","AKR7A3",FALSE,TRUE
"trans_gene","ANKRD30A",FALSE,TRUE
"trans_gene","BCAS1",FALSE,TRUE
"trans_gene","CAPN13",FALSE,TRUE
"trans_gene","CHAD",FALSE,TRUE
"trans_gene","CHI3L1",FALSE,TRUE
"trans_gene","CRABP1",FALSE,TRUE
"trans_gene","ELF5",FALSE,TRUE
"trans_gene","ELOVL2",FALSE,TRUE
"trans_gene","FABP4",FALSE,TRUE
"trans_gene","FABP7",FALSE,TRUE
"trans_gene","FOLR1",FALSE,TRUE
"trans_gene","GJB2",FALSE,TRUE
"trans_gene","GP2",FALSE,TRUE
"trans_gene","GRPR",FALSE,TRUE
"trans_gene","HAPLN3",FALSE,TRUE
"trans_gene","KCNJ3",FALSE,TRUE
"trans_gene","KLK10",FALSE,TRUE
"trans_gene","KLK6",FALSE,TRUE
"trans_gene","KLK7",FALSE,TRUE
"trans_gene","KRT14",FALSE,TRUE
"trans_gene","KRT17",FALSE,TRUE
"trans_gene","KRT5",FALSE,TRUE
"trans_gene","KRT6A",FALSE,TRUE
"trans_gene","KRT86",FALSE,TRUE
"trans_gene","MMP1",FALSE,TRUE
"trans_gene","MMP7",FALSE,TRUE
"trans_gene","NKAIN1",FALSE,TRUE
"trans_gene","NPNT",FALSE,TRUE
"trans_gene","PDZK1",FALSE,TRUE
"trans_gene","PKP1",FALSE,TRUE
"trans_gene","PPP1R14C",FALSE,TRUE
"trans_gene","PROM1",FALSE,TRUE
"trans_gene","PRR15",FALSE,TRUE
"trans_gene","PTPRT",FALSE,TRUE
"trans_gene","RASEF",FALSE,TRUE
"trans_gene","RIMS4",FALSE,TRUE
"trans_gene","S100A8",FALSE,TRUE
"trans_gene","SERPINA5",FALSE,TRUE
"trans_gene","SLC6A14",FALSE,TRUE
"trans_gene","SLC7A2",FALSE,TRUE
"trans_gene","SYT9",FALSE,TRUE
"trans_gene","SYTL5",FALSE,TRUE
"trans_gene","TFAP2B",FALSE,TRUE
"trans_gene","TPRG1",FALSE,TRUE
"trans_gene","TRIM29",FALSE,TRUE
"trans_gene","WNK4",FALSE,TRUE
"expression_gene","ACAP1",TRUE,TRUE
"expression_gene","ADAMDEC1",TRUE,FALSE
"expression_gene","AFF3",TRUE,TRUE
"expression_gene","AGR2",TRUE,FALSE
"expression_gene","ANXA9",TRUE,TRUE
"expression_gene","ASPN",TRUE,FALSE
"expression_gene","BCL11A",TRUE,FALSE
"expression_gene","C4A",TRUE,FALSE
"expression_gene","CA12",TRUE,TRUE
"expression_gene","CACNA2D2",TRUE,TRUE
"expression_gene","CCL19",TRUE,TRUE
"expression_gene","CCL5",TRUE,FALSE
"expression_gene","CCR7",TRUE,FALSE
"expression_gene","CD2",TRUE,TRUE
"expression_gene","CD247",TRUE,FALSE
"expression_gene","CD27",TRUE,FALSE
"expression_gene","CD38",TRUE,FALSE
"expression_gene","CD3D",TRUE,TRUE
"expression_gene","CD3E",TRUE,TRUE
"expression_gene","CD48",TRUE,FALSE
"expression_gene","CD5",TRUE,FALSE
"expression_gene","CD52",TRUE,FALSE
"expression_gene","CD79A",TRUE,TRUE
"expression_gene","CD79B",TRUE,FALSE
"expression_gene","CD8A",TRUE,FALSE
"expression_gene","CD96",TRUE,FALSE
"expression_gene","CLSTN2",TRUE,TRUE
"expression_gene","COL11A1",TRUE,TRUE
"expression_gene","COL9A3",TRUE,FALSE
"expression_gene","CORO1A",TRUE,FALSE
"expression_gene","CXCL13",TRUE,TRUE
"expression_gene","CXCL9",TRUE,TRUE
"expression_gene","DACH1",TRUE,TRUE
"expression_gene","DNAJC12",TRUE,TRUE
"expression_gene","DNALI1",TRUE,TRUE
"expression_gene","EGFR",TRUE,FALSE
"expression_gene","EMILIN1",TRUE,TRUE
"expression_gene","EN1",TRUE,FALSE
"expression_gene","ERBB4",TRUE,TRUE
"expression_gene","ESR1",TRUE,TRUE
"expression_gene","FBP1",TRUE,FALSE
"expression_gene","FOXA1",TRUE,TRUE
"expression_gene","FOXC1",TRUE,TRUE
"expression_gene","GABRP",TRUE,TRUE
"expression_gene","GATA3",TRUE,FALSE
"expression_gene","GFRA1",TRUE,FALSE
"expression_gene","GREB1",TRUE,TRUE
"expression_gene","GZMA",TRUE,TRUE
"expression_gene","GZMB",TRUE,FALSE
"expression_gene","GZMK",TRUE,TRUE
"expression_gene","HLA-DQA1",TRUE,FALSE
"expression_gene","IDO1",TRUE,TRUE
"expression_gene","IGF2BP2",TRUE,FALSE
"expression_gene","IL2RB",TRUE,FALSE
"expression_gene","IL2RG",TRUE,TRUE
"expression_gene","IRF4",TRUE,FALSE
"expression_gene","ITK",TRUE,TRUE
"expression_gene","KIAA1324",TRUE,FALSE
"expression_gene","KRT16",TRUE,TRUE
"expression_gene","LAMP3",TRUE,FALSE
"expression_gene","LCK",TRUE,TRUE
"expression_gene","LRRC15",TRUE,FALSE
"expression_gene","LTB",TRUE,TRUE
"expression_gene","LYZ",TRUE,TRUE
"expression_gene","MAPT",TRUE,TRUE
"expression_gene","MARCO",TRUE,FALSE
"expression_gene","MLPH",TRUE,TRUE
"expression_gene","MMP13",TRUE,TRUE
"expression_gene","MS4A1",TRUE,TRUE
"expression_gene","MSLN",TRUE,TRUE
"expression_gene","MYB",TRUE,TRUE
"expression_gene","NAT1",TRUE,TRUE
"expression_gene","NKG7",TRUE,FALSE
"expression_gene","PGR",TRUE,TRUE
"expression_gene","PLA2G2D",TRUE,FALSE
"expression_gene","POU2AF1",TRUE,TRUE
"expression_gene","PRF1",TRUE,FALSE
"expression_gene","PRKCB",TRUE,FALSE
"expression_gene","PRLR",TRUE,FALSE
"expression_gene","PSAT1",TRUE,TRUE
"expression_gene","PTGDS",TRUE,TRUE
"expression_gene","PTPRC",TRUE,FALSE
"expression_gene","PTPRCAP",TRUE,TRUE
"expression_gene","RARRES1",TRUE,TRUE
"expression_gene","RET",TRUE,TRUE
"expression_gene","ROPN1",TRUE,FALSE
"expression_gene","S100A2",TRUE,FALSE
"expression_gene","SCUBE2",TRUE,TRUE
"expression_gene","SELL",TRUE,TRUE
"expression_gene","SFRP1",TRUE,TRUE
"expression_gene","SLAMF7",TRUE,FALSE
"expression_gene","SLC16A6",TRUE,TRUE
"expression_gene","SLC39A6",TRUE,TRUE
"expression_gene","SLC44A4",TRUE,TRUE
"expression_gene","SPDEF",TRUE,FALSE
"expression_gene","SPOCK2",TRUE,FALSE
"expression_gene","TBC1D9",TRUE,TRUE
"expression_gene","TFF1",TRUE,TRUE
"expression_gene","TFF3",TRUE,TRUE
"expression_gene","THSD4",TRUE,FALSE
"expression_gene","TNFRSF17",TRUE,FALSE
"expression_gene","TSPAN1",TRUE,TRUE
"expression_gene","TTYH1",TRUE,TRUE
"expression_gene","UBD",TRUE,FALSE
"expression_gene","VGLL1",TRUE,FALSE
"expression_gene","XBP1",TRUE,FALSE
"expression_gene","ZAP70",TRUE,TRUE
"expression_gene","ZMYND10",TRUE,FALSE
"expression_gene","BDH1",TRUE,FALSE
"expression_gene","CCL14",TRUE,TRUE
"expression_gene","DLG5",TRUE,FALSE
"expression_gene","GSDMD",TRUE,FALSE
"expression_gene","KIF5C",TRUE,FALSE
"expression_gene","LILRB2",TRUE,FALSE
"expression_gene","NCF4",TRUE,FALSE
"expression_gene","A2ML1",FALSE,TRUE
"expression_gene","ABAT",FALSE,TRUE
"expression_gene","ACADSB",FALSE,TRUE
"expression_gene","ADAM6",FALSE,TRUE
"expression_gene","AKR7A3",FALSE,TRUE
"expression_gene","ANKRD30A",FALSE,TRUE
"expression_gene","BCAS1",FALSE,TRUE
"expression_gene","CAPN13",FALSE,TRUE
"expression_gene","CHAD",FALSE,TRUE
"expression_gene","CHI3L1",FALSE,TRUE
"expression_gene","CRABP1",FALSE,TRUE
"expression_gene","ELF5",FALSE,TRUE
"expression_gene","ELOVL2",FALSE,TRUE
"expression_gene","FABP4",FALSE,TRUE
"expression_gene","FABP7",FALSE,TRUE
"expression_gene","FOLR1",FALSE,TRUE
"expression_gene","GJB2",FALSE,TRUE
"expression_gene","GP2",FALSE,TRUE
"expression_gene","GRPR",FALSE,TRUE
"expression_gene","HAPLN3",FALSE,TRUE
"expression_gene","KCNJ3",FALSE,TRUE
"expression_gene","KLK10",FALSE,TRUE
"expression_gene","KLK6",FALSE,TRUE
"expression_gene","KLK7",FALSE,TRUE
"expression_gene","KRT14",FALSE,TRUE
"expression_gene","KRT17",FALSE,TRUE
"expression_gene","KRT5",FALSE,TRUE
"expression_gene","KRT6A",FALSE,TRUE
"expression_gene","KRT86",FALSE,TRUE
"expression_gene","MMP1",FALSE,TRUE
"expression_gene","MMP7",FALSE,TRUE
"expression_gene","NKAIN1",FALSE,TRUE
"expression_gene","NPNT",FALSE,TRUE
"expression_gene","PDZK1",FALSE,TRUE
"expression_gene","PKP1",FALSE,TRUE
"expression_gene","PPP1R14C",FALSE,TRUE
"expression_gene","PROM1",FALSE,TRUE
"expression_gene","PRR15",FALSE,TRUE
"expression_gene","PTPRT",FALSE,TRUE
"expression_gene","RASEF",FALSE,TRUE
"expression_gene","RIMS4",FALSE,TRUE
"expression_gene","S100A8",FALSE,TRUE
"expression_gene","SERPINA5",FALSE,TRUE
"expression_gene","SLC6A14",FALSE,TRUE
"expression_gene","SLC7A2",FALSE,TRUE
"expression_gene","SYT9",FALSE,TRUE
"expression_gene","SYTL5",FALSE,TRUE
"expression_gene","TFAP2B",FALSE,TRUE
"expression_gene","TPRG1",FALSE,TRUE
"expression_gene","TRIM29",FALSE,TRUE
"expression_gene","WNK4",FALSE,TRUE
"expression_gene","NOSTRIN",FALSE,TRUE
"expression_gene","DERL3",FALSE,TRUE
"expression_gene","NFKBIB",FALSE,TRUE
"expression_gene","C3orf52",FALSE,TRUE
"expression_gene","GSDMC",FALSE,TRUE
"expression_gene","GNL1",FALSE,TRUE
"expression_gene","LRIG1",FALSE,TRUE
"expression_gene","IL9R",FALSE,TRUE
"m2eQTL_probe","cg23576092",TRUE,FALSE
"m2eQTL_probe","cg06423665",TRUE,TRUE
"m2eQTL_probe","cg18033671",TRUE,TRUE
"m2eQTL_probe","cg15114522",TRUE,TRUE
"m2eQTL_probe","cg22895231",TRUE,FALSE
"m2eQTL_probe","cg18013550",TRUE,TRUE
"m2eQTL_probe","cg11335969",TRUE,TRUE
"m2eQTL_probe","cg27331738",TRUE,TRUE
"m2eQTL_probe","cg17010657",TRUE,FALSE
"m2eQTL_probe","cg02076355",TRUE,TRUE
"m2eQTL_probe","cg03801691",TRUE,TRUE
"m2eQTL_probe","cg09227616",TRUE,FALSE
"m2eQTL_probe","cg12707233",TRUE,FALSE
"m2eQTL_probe","cg02887374",FALSE,TRUE
"m2eQTL_probe","cg19296662",FALSE,TRUE
"m2eQTL_probe","cg25895490",FALSE,TRUE
"m2eQTL_probe","cg01896298",FALSE,TRUE
