snps,gene,statistic,pvalue,FDR,beta
cg06423665,FABP4,-6.84852969136107,1.5605528487558e-11,6.34962948359961e-10,-1.37488923633279
cg18033671,PSAT1,-11.3567829339755,1.10865967733564e-27,6.53816490714055e-25,-1.37134647814539
cg15114522,KLK6,-9.44638424135752,4.39988368970205e-20,8.53299189102286e-18,-1.36806053173793
cg18033671,RARRES1,-10.7085346248212,5.4501852487118e-25,2.2228519460306e-22,-1.36559114520172
cg18033671,TSPAN1,9.71955085289016,4.17282031124037e-21,9.52676049114952e-19,1.36343767901063
cg18033671,RET,9.89539104767088,8.91802785759601e-22,2.25954913560727e-19,1.35105324852404
cg18033671,CHI3L1,-9.53304700662497,2.09552103650185e-20,4.2759220350437e-18,-1.33967146463416
cg18033671,PROM1,-7.32395300713077,6.25558539704465e-13,3.40795589486805e-11,-1.33561719668973
cg15114522,ANXA9,11.0693434088401,1.78650941714058e-26,8.93372750311934e-24,1.31792543298375
cg02887374,GRPR,6.84517489762413,1.59535120861087e-11,6.47694846542341e-10,1.30811718356247
cg15114522,TRIM29,-8.90326381460798,4.07845336947956e-18,5.71916396125959e-16,-1.30702647726617
cg18033671,DNALI1,10.2394944939552,4.10177131075169e-23,1.27551352486947e-20,1.30585256918961
cg18033671,RIMS4,9.38479007702674,7.43078046684954e-20,1.389909767246e-17,1.30167946792874
cg18033671,ELOVL2,8.57503113550948,5.68762396544462e-17,6.57782389622385e-15,1.29638970616477
cg18033671,MMP7,-9.09349247700644,8.54708411994205e-19,1.34314725537695e-16,-1.29483240890125
cg18033671,SLC39A6,11.1108241820941,1.19984727909619e-26,6.15614064928744e-24,1.2915279302376
cg15114522,GP2,7.62934254961603,7.20901737893196e-14,4.72692539188206e-12,1.2877525225614
cg11335969,LTB,-12.6866859182676,1.55187273741973e-33,1.9265696268524e-30,-1.27853583220518
cg18033671,NKAIN1,8.53008219163233,8.10957010006352e-17,9.11724119476214e-15,1.27569188150354
cg18033671,BCAS1,9.38198802752567,7.60958512533357e-20,1.42061680888424e-17,1.27250329000057
cg15114522,PKP1,-8.75137678258601,1.39409435353542e-17,1.78736069350723e-15,-1.27146026443098
cg02076355,GZMK,19.8716988572843,7.50185991503797e-71,3.50298216376484e-66,1.26961511290798
cg03801691,GJB2,-14.1445732703634,2.05607885079136e-40,5.53693085317456e-37,-1.26958824100501
cg02076355,CD3E,21.5061506330826,3.3472769854957e-80,4.04094217569921e-75,1.26915892702006
cg11335969,PTPRCAP,-13.3914159547723,8.36171720585262e-37,1.52665462983464e-33,-1.26885173245911
cg18033671,CHAD,8.00494039644636,4.57797557745952e-15,3.77166269331116e-13,1.26111361895457
cg18033671,TPRG1,7.99258848265647,5.02100544097817e-15,4.1077403125501e-13,1.25331872549556
cg27331738,IDO1,-8.73630906764253,1.5734460093879e-17,1.99974665147024e-15,-1.24261574282307
cg19296662,FOLR1,-8.68741040078176,2.32770798277564e-17,2.87501849772356e-15,-1.24161613900634
cg11335969,PTGDS,-10.7752958805033,2.91331980397245e-25,1.23712465863173e-22,-1.23518005514927
cg02076355,IL2RG,21.9122419470427,1.49077981170403e-82,2.54442905452417e-77,1.23516818774765
cg15114522,KRT6A,-7.52029099710034,1.57255301016351e-13,9.64712925519359e-12,-1.23006453622659
cg18033671,CACNA2D2,11.867263400908,7.05894816413031e-30,5.55651256621824e-27,1.22938192539568
cg02076355,CD2,20.6922217343044,1.60573843374571e-75,1.15186226978887e-70,1.22923683281269
cg18013550,TTYH1,-9.72055326940919,4.13651819971588e-21,9.44998331639275e-19,-1.22699008870192
cg18033671,AKR7A3,9.21047935426213,3.22780757412933e-19,5.44215371819993e-17,1.22531911577339
cg19296662,KLK10,-7.59117419297558,9.48177860406042e-14,6.07693009034198e-12,-1.2145549055657
cg19296662,KLK7,-8.10757977677166,2.11529895644813e-15,1.85559299960643e-13,-1.21301751215214
cg18033671,WNK4,8.25167210048596,7.0603594611572e-16,6.74405350425616e-14,1.20541666796222
cg18033671,KCNJ3,7.24457296723873,1.08384580802614e-12,5.62657899111627e-11,1.20170022553472
cg18033671,CAPN13,10.3284380279755,1.82737994480669e-23,5.98168008288618e-21,1.19594401515973
cg02887374,ABAT,7.17266652441916,1.77549776061357e-12,8.82233023412037e-11,1.18383705783245
cg06423665,EMILIN1,-11.8857180972703,5.86313870015321e-30,4.66717721450115e-27,-1.17985784731418
cg02076355,ITK,21.3655192143287,2.17079618556826e-79,2.38770889401837e-74,1.17937923283236
cg02076355,GZMA,21.9517313176039,8.7954700767498e-83,1.55480477311661e-77,1.17507985923561
cg25895490,MMP1,-9.19724819023709,3.60536033005995e-19,6.03146185119226e-17,-1.16810337373164
cg18033671,PPP1R14C,-10.3943849835587,1.00009409856024e-23,3.40471817546948e-21,-1.16595007464667
cg02887374,RASEF,8.26778572370333,6.23899768160614e-16,6.01919535138636e-14,1.16240505326304
cg11335969,LCK,-12.4527303746291,1.78382452900926e-32,1.95293126404721e-29,-1.159245068631
cg02076355,CD3D,22.3207204955896,6.29422859318221e-85,1.73079187406437e-79,1.15905250017555
cg11335969,ZAP70,-13.0839089871988,2.30099814036231e-35,3.57474722204547e-32,-1.15555804015234
cg18033671,S100A8,-7.14720354119758,2.11250040855255e-12,1.03417661634263e-10,-1.15229970592324
cg18033671,HAPLN3,-13.315875749975,1.89593720696417e-36,3.32302874652941e-33,-1.14853807045495
cg02076355,LYZ,15.5007541548977,3.47433841715439e-47,1.89183421824223e-43,1.14830041614357
cg02887374,SYT9,6.780601441804,2.4346666594113e-11,9.49821639704611e-10,1.14485544206838
cg18033671,MYB,11.3656136399974,1.01711681878762e-27,6.02702781106119e-25,1.14089120330529
cg02076355,SELL,17.9230004116768,5.19453786749182e-60,8.48553304751892e-56,1.13903882983217
cg18033671,SLC16A6,9.82251142069769,1.69481727426964e-21,4.11435533908374e-19,1.13739599354537
cg18033671,CRABP1,-7.06625062474859,3.65815719030242e-12,1.70106182366235e-10,-1.13619055270701
cg18033671,SYTL5,9.29529252474978,1.58377327184627e-19,2.81032828209901e-17,1.12991645305428
cg15114522,SLC6A14,-8.1045912818794,2.16363247690659e-15,1.89453396498144e-13,-1.12840910739228
cg01896298,TFAP2B,8.38356124390095,2.55107243089067e-16,2.63269377045322e-14,1.12697003439724
cg02887374,ACADSB,8.31253744844924,4.42079762196314e-16,4.37943692113129e-14,1.1202277593027
cg02887374,IGF2BP2,-8.71350447440179,1.8891369241336e-17,2.36933336705577e-15,-1.11849030522224
cg02887374,VAV3,8.24086686278016,7.67002784379187e-16,7.28088374000533e-14,1.11816450638601
cg19296662,ID4,-8.62982716970521,3.68334061315363e-17,4.39519324958011e-15,-1.11419444560091
cg02887374,ZG16B,6.62197503814282,6.7789633076865e-11,2.39676580247464e-09,1.1133718504348
